income_groups,age,gender,year,population
high_income,0.0,1.0,1950-01-01,7798286.0
high_income,0.0,1.0,1951-01-01,7739711.0
high_income,0.0,3.0,1952-01-01,7713905.0
high_income,0.0,1.0,1953-01-01,7722053.0
high_income,0.0,1.0,1954-01-01,7756149.0
high_income,0.0,3.0,1955-01-01,7816237.0
high_income,0.0,1.0,1956-01-01,7881285.0
high_income,0.0,1.0,1957-01-01,7963331.0
high_income,0.0,1.0,1958-01-01,8059561.0
high_income,0.0,1.0,1959-01-01,8145397.0
high_income,0.0,3.0,1961-01-01,8215856.0
high_income,0.0,1.0,1962-01-01,8246837.0
high_income,0.0,1.0,1964-01-01,8286815.0
high_income,0.0,1.0,1965-01-01,8226634.0
high_income,0.0,3.0,1967-01-01,7891497.0
high_income,0.0,1.0,1968-01-01,7879501.0
high_income,0.0,1.0,1969-01-01,7829859.0
high_income,0.0,1.0,1970-01-01,7847667.0
high_income,0.0,1.0,1971-01-01,7877076.0
high_income,0.0,1.0,1972-01-01,7788912.0
high_income,0.0,1.0,1973-01-01,7622554.0
high_income,0.0,1.0,1975-01-01,7380875.0
high_income,0.0,1.0,1976-01-01,7268090.0
high_income,0.0,1.0,1978-01-01,7252074.0
high_income,0.0,1.0,1980-01-01,7344529.0
high_income,0.0,1.0,1981-01-01,7325343.0
high_income,0.0,1.0,1983-01-01,7225239.0
high_income,0.0,1.0,1984-01-01,7137798.0
high_income,0.0,1.0,1986-01-01,7051079.0
high_income,0.0,1.0,1987-01-01,7041240.0
high_income,0.0,1.0,1988-01-01,7050006.0
high_income,0.0,1.0,1989-01-01,7094591.0
high_income_typo,0.0,1.0,1991-01-01,7135453.0
high_income,0.0,1.0,1992-01-01,7082019.0
high_income,0.0,1.0,1993-01-01,6993328.0
high_income,0.0,1.0,1994-01-01,6883434.0
high_income,0.0,1.0,1996-01-01,6716983.0
high_income,0.0,1.0,1998-01-01,6660832.0
high_income_typo,0.0,1.0,1999-01-01,6606375.0
